"Partnumber","Description","Qty in Stock" as text,"Qty in Stock","UM","S.O. Qty Open" as text,"S.O. Qty Open","P.O. Qty Open" as text,"P.O. Qty Open","NSN","Alt","MFG","MFG Name","Recommended Vendor","Buy/Make" as text,"Buy/Make","Cond","Consigned" as text,"Consigned","Rev","QA/Inspc" as text,"QA/Inspc","Transport" as text,"Transport","Quarantine" as text,"Quarantine","Category","Type","Lead Time","Range" as text,"Range","Asset Type" as text,"Asset Type","ATA Chapter","Trim Numeric","Punctuation","Schedule B","ECCN","BOM","Image(s)"
"11HX.8125",="2011-T3 CF HEX Bar 13/16"" x 144""","0.000","0","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","HX","",,"","Raw Material","R","",="118125",="11HX8125","","","",""
"11HX1.125T3",="2011-T3 CF HEX Bar 1-1/8"" x 144""","0.000","0","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","HX","",,"","Raw Material","R","",="1111253",="11HX1125T3","","","",""
"11HX1.25T3",="2011-T3 CF HEX Bar 1-1/4"" X 144""","1,054.000","1054","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","HX","",,"","Raw Material","R","",="111253",="11HX125T3","","","",""
="11HX1T3",="2011-T3 CF HEX Bar 1"" x 144""","0.000","0","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","HX","",,"","Raw Material","R","",="1113",="11HX1T3","","","",""
"11PL.375H14-48.5-144.5","1100 H14 Plate .375"" X 48.5"" X 144.5""","0.000","0","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="11375144851445",="11PL375H144851445","","","",""
"11PL.50H14-48.5-144.5","1100 H14 PLATE 0.50"" X 48.5"" X 144.5""","9,614.000","9614","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="1150144851445",="11PL50H144851445","","","",""
"11PL.5H14","1100-H14 Plate .50""","420.249","420.249","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="11514",="11PL5H14","","","",""
"11RD.125T3",="2011-T3 CF Round Bar 1/8"" x 144""","731.460","731.46","LB","0.000","0","1,000.000","1000","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="111253",="11RD125T3","","","",""
"11RD.1562T3",="2011-T3 CF Round Bar 5/32"" x 144""","209.680","209.68","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="1115623",="11RD1562T3","","","",""
"11RD.187T3",="2011-T3 CF Round Bar 3/16"" x 144""","605.000","605","LB","0.000","0","1,000.000","1000","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="111873",="11RD187T3","","","",""
"11RD.2187T3",="2011-T3 CF Round Bar 7/32"" x 144""","225.000","225","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="1121873",="11RD2187T3","","","",""
"11RD.2362T3",="2011-T3 CF Round Bar (6mm) x 144""","1,010.000","1010","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="1123623",="11RD2362T3","","","",""
"11RD.25T3",="2011-T3 CF Round Bar 1/4"" x 144""","3,573.920","3573.92","LB","0.000","0","2,000.000","2000","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="11253",="11RD25T3","","","",""
"11RD.2812T3",="2011-T3 CF Round Bar 9/32"" x 144""","0.000","0","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="1128123",="11RD2812T3","","","",""
"11RD.3125T3",="2011-T3 CF Round Bar 5/16"" x 144""","3,418.330","3418.33","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="1131253",="11RD3125T3","","","",""
"11RD.375T3",="2011-T3 CF Round Bar 3/8"" x 144""","3,364.870","3364.87","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="113753",="11RD375T3","","","",""
"11RD.4375T3",="2011-T3 CF Round Bar 7/16"" x 144""","6,416.320","6416.32","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="1143753",="11RD4375T3","","","",""
"11RD.4687T3",="2011-T3 CF Round Bar 15/32"" x 144""","0.000","0","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="1146873",="11RD4687T3","","","",""
"11RD.5188T3","2011-T3 CF Round Bar .5188"" X 144""","0.000","0","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="1151883",="11RD5188T3","","","",""
"11RD.5312T3",="2011-T3 CF Round Bar 17/32"" x 144""","1,014.000","1014","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="1153123",="11RD5312T3","","","",""
"11RD.5625T3",="2011-T3 CF Round Bar 9/16"" x 144""","917.749","917.749","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="1156253",="11RD5625T3","","","",""
"11RD.5T3",="2011-T3 CF Round Bar 1/2"" x 144""","9,557.476","9557.476","LB","0.000","0","3,000.000","3000","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="1153",="11RD5T3","","","",""
"11RD.625T3",="2011-T3 CF Round Bar 5/8"" x 144""","5,491.000","5491","LB","0.000","0","5,000.000","5000","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="116253",="11RD625T3","","","",""
"11RD.6875T3",="2011-T3 CF Round Bar 11/16"" x 144""","7,236.000","7236","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="1168753",="11RD6875T3","","","",""
"11RD.75T3",="2011-T3 CF Round Bar 3/4"" x 144""","3,170.172","3170.172","LB","0.000","0","3,000.000","3000","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="11753",="11RD75T3","","","",""
"11RD.8125T3",="2011-T3 CF Round Bar 13/16"" x 144""","2,653.000","2653","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="1181253",="11RD8125T3","","","",""
"11RD.875T3",="2011-T3 CF Round Bar 7/8"" x 144""","0.000","0","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="118753",="11RD875T3","","","",""
"11RD.9375",="2011-T3 CF Round Bar 15/16"" x 144""","0.000","0","LB","0.000","0","1,000.000","1000","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="119375",="11RD9375","","","",""
"11RD1.0625",="2011-T3 CF Round Bar 1-1/16"" x 144""","0.000","0","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="1110625",="11RD10625","","","",""
"11RD1.125T3",="2011-T3 CF Round Bar 1-1/8"" x 144""","2,017.000","2017","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="1111253",="11RD1125T3","","","",""
"11RD1.25T3",="2011-T3 CF Round Bar 1-1/4"" x 144""","1,962.000","1962","LB","0.000","0","1,000.000","1000","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="111253",="11RD125T3","","","",""
