"Partnumber","Description","Qty in Stock" as text,"Qty in Stock","UM","S.O. Qty Open" as text,"S.O. Qty Open","P.O. Qty Open" as text,"P.O. Qty Open","NSN","Alt","MFG","Rev","MFG Name","Recommended Vendor","Buy/Make" as text,"Buy/Make","Cond","Consigned" as text,"Consigned","QA/Inspc" as text,"QA/Inspc","Transport" as text,"Transport","Quarantine" as text,"Quarantine","Category","Type","Lead Time","Range" as text,"Range","Asset Type" as text,"Asset Type","ATA Chapter","Trim Numeric","Punctuation","Schedule B","ECCN","BOM","Image(s)"
="50PL1T7451-TP",="7050-T7451 TOOLING Plate 1""","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="5017451",="50PL1T7451TP","","","",""
="50PL1T7451-USI",="7050-T7451 USI Plate 1""","618.000","618","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="5017451",="50PL1T7451USI","","","",""
"50PL1T7451-USI-48.5-144.5","7050-T7451 USI Plate 1"" x 48.5"" x 144.5""","2,144.370","2144.37","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="50174514851445",="50PL1T7451USI4851445","","","",""
="50PL1T7651",="7050-T7651 Plate 1""","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="5017651",="50PL1T7651","","","",""
"50PL2.25T7451-60.5-144.5","7050-T7451 USI Plate 2.25"" x 60.5"" x 144.5""","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="5022574516051445",="50PL225T74516051445","","","",""
"50PL2.25T7451-USI-48.5-144.5","7050-T7451 USI Plate 2.25"" x 48.5"" x 144.5""","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="5022574514851445",="50PL225T7451USI4851445","","","",""
"50PL2.5T7451-USI","7050-T7451 USI Plate 2.5""","3,522.572","3522.572","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="50257451",="50PL25T7451USI","","","",""
"50PL2.5T7451-USI-48.5-144.5","7050-T7451 USI 2.5"" x 48.5"" x 144.5""","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="502574514851445",="50PL25T7451USI4851445","","","",""
="50PL2T7451-USI",="7050-T7451 USI Plate 2""","1,536.700","1536.7","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="5027451",="50PL2T7451USI","","","",""
"50PL2T7451-USI-48.5-144.5","7050-T7451 USI Plate 2"" x 48.5"" x 144.5""","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="50274514851445",="50PL2T7451USI4851445","","","",""
"50PL2T7451-USI-60.5-144.5","7050-T7451 USI Plate 2"" x 60.5"" x 144.5""","1,748.450","1748.45","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="50274516051445",="50PL2T7451USI6051445","","","",""
"50PL3.5T7451-USI","7050-T7451 USI Plate 3.5""","2,618.441","2618.441","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="50357451",="50PL35T7451USI","","","",""
"50PL3.5T7451-USI-60.5-144.5","7050-T7451 USI Plate 3.5"" x 60.5"" x 144.5""","6,340.000","6340","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="503574516051445",="50PL35T7451USI6051445","","","",""
="50PL3T7451-USI",="7050-T7451 USI Plate 3""","1,952.650","1952.65","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="5037451",="50PL3T7451USI","","","",""
